episode,timestep,reward
1253,1074000,140.6096
1255,1076000,131.8783
1257,1078000,131.9582
1259,1080000,135.7213
1261,1082000,67.9973
1263,1084000,135.9367
1265,1086000,134.2345
1267,1088000,133.5672
1269,1090000,73.2917
1271,1092000,137.8081
1273,1094000,132.9727
1275,1096000,130.4996
1277,1098000,135.9362
1279,1100000,129.8513
1282,1102000,18.0461
1284,1104000,142.0284
1286,1106000,140.8457
1288,1108000,136.5802
1290,1110000,138.4819
1292,1112000,145.2329
1294,1114000,136.9191
1296,1116000,152.5263
1298,1118000,143.6855
1300,1120000,150.4444
1302,1122000,138.7708
1304,1124000,144.0619
1307,1126000,68.5739
1310,1128000,-22.945
1312,1130000,138.6524
1315,1132000,59.3569
1317,1134000,79.3883
1319,1136000,147.6349
1321,1138000,136.9156
1323,1140000,131.4603
1325,1142000,141.3674
1327,1144000,145.1683
1329,1146000,139.9975
1331,1148000,147.8355
1333,1150000,144.9704
1335,1152000,139.3984
1337,1154000,139.9324
1339,1156000,138.1237
1341,1158000,140.5699
1343,1160000,148.3095
1346,1162000,61.4267
1348,1164000,140.4511
1350,1166000,36.2362
1352,1168000,136.4222
1355,1170000,60.7571
1357,1172000,147.4685
1359,1174000,147.6844
1361,1176000,138.668
1363,1178000,144.7549
1365,1180000,134.0281
1367,1182000,121.552
1370,1184000,44.6748
1372,1186000,49.683
1374,1188000,59.1999
1377,1190000,96.731
1379,1192000,134.3385
1381,1194000,15.1827
1383,1196000,137.1677
1385,1198000,140.4811
1388,1200000,62.2843
1390,1202000,136.5514
1393,1204000,51.8879
1395,1206000,127.8283
1397,1208000,134.6148
1400,1210000,60.8511
1403,1212000,49.597
1405,1214000,141.5641
1407,1216000,140.1119
1409,1218000,40.4381
1411,1220000,137.344
1413,1222000,137.619
1415,1224000,123.9035
1418,1226000,87.2404
1420,1228000,135.5161
1423,1230000,42.7185
1425,1232000,143.0728
1427,1234000,23.8959
1429,1236000,142.5332
1431,1238000,146.2108
1433,1240000,146.4395
1436,1242000,66.2191
1438,1244000,143.0176
1440,1246000,147.2105
1445,1248000,-14.8199
1447,1250000,122.9452
1449,1252000,61.8486
1452,1254000,51.1792
1454,1256000,141.4031
1456,1258000,139.5425
1458,1260000,42.546
1461,1262000,108.1429
1463,1264000,144.7407
1466,1266000,0.382
1470,1268000,20.9409
1472,1270000,50.8514
1477,1272000,3.3698
1480,1274000,54.0883
1482,1276000,151.8961
1485,1278000,60.2925
